time,value
2024-04-17T20:57:01.12263907Z,762
2024-04-17T20:57:02.24908752Z,768
2024-04-17T20:57:03.375452919Z,765
2024-04-17T20:57:04.501420978Z,768
2024-04-17T20:57:05.628238735Z,767
2024-04-17T20:57:06.755494708Z,769
2024-04-17T20:57:07.880938013Z,770
2024-04-17T20:57:09.007309684Z,774
2024-04-17T20:57:10.134649689Z,766
2024-04-17T20:57:11.260097404Z,763
2024-04-17T20:57:12.38677481Z,766
2024-04-17T20:57:13.513292015Z,769
2024-04-17T20:57:14.639954991Z,761
2024-04-17T20:57:15.765479752Z,770
2024-04-17T20:57:16.891914537Z,766
2024-04-17T20:57:18.0186074Z,772
2024-04-17T20:57:19.145556533Z,764
2024-04-17T20:57:20.271592793Z,768
2024-04-17T20:57:21.397808718Z,761
2024-04-17T20:57:22.524104003Z,768
2024-04-17T20:57:23.650577236Z,765
2024-04-17T20:57:24.777166631Z,770
2024-04-17T20:57:25.903499178Z,766
2024-04-17T20:57:27.030559766Z,769
2024-04-17T20:57:28.156724587Z,768
2024-04-17T20:57:29.180571937Z,771
2024-04-17T20:57:30.410267187Z,766
2024-04-17T20:57:31.432914334Z,767
2024-04-17T20:57:32.661829446Z,765
2024-04-17T20:57:33.685734136Z,767
2024-04-17T20:57:34.812815729Z,764
2024-04-17T20:57:35.93898868Z,770
2024-04-17T20:57:37.065281037Z,765
2024-04-17T20:57:38.191447063Z,770
2024-04-17T20:57:39.318439486Z,767
2024-04-17T20:57:40.445111778Z,769
2024-04-17T20:57:41.571198689Z,765
2024-04-17T20:57:42.696904235Z,768
2024-04-17T20:57:43.823558038Z,766
2024-04-17T20:57:44.949747036Z,769
2024-04-17T20:57:46.178589846Z,767
2024-04-17T20:57:47.202613971Z,771
2024-04-17T20:57:48.329064534Z,767
2024-04-17T20:57:49.455512919Z,766
2024-04-17T20:57:50.582444596Z,766
2024-04-17T20:57:51.708171758Z,769
2024-04-17T20:57:52.83582418Z,759
2024-04-17T20:57:53.961303333Z,769
2024-04-17T20:57:55.087717919Z,763
2024-04-17T20:57:56.21397081Z,771
2024-04-17T20:57:57.340308848Z,763
2024-04-17T20:57:58.466869243Z,770
2024-04-17T20:57:59.593270747Z,764
2024-04-17T20:58:00.719640209Z,768
2024-04-17T20:58:01.846022325Z,774
2024-04-17T20:58:02.972121224Z,769
2024-04-17T20:58:04.098660817Z,763
2024-04-17T20:58:05.225223538Z,770
2024-04-17T20:58:06.352231713Z,765
2024-04-17T20:58:07.375810732Z,770
2024-04-17T20:58:08.604109941Z,765
2024-04-17T20:58:09.628993533Z,767
2024-04-17T20:58:10.857568325Z,765
2024-04-17T20:58:11.883170274Z,768
2024-04-17T20:58:13.007597932Z,766
2024-04-17T20:58:14.133962664Z,770
2024-04-17T20:58:15.298739234Z,765
2024-04-17T20:58:16.489093429Z,768
2024-04-17T20:58:17.513447365Z,764
2024-04-17T20:58:18.639477977Z,771
2024-04-17T20:58:19.766678358Z,760
2024-04-17T20:58:20.893055662Z,769
2024-04-17T20:58:22.019637843Z,765
2024-04-17T20:58:23.14530999Z,770
2024-04-17T20:58:24.271639771Z,767
2024-04-17T20:58:25.398048582Z,768
